yy,mm,dd,Staz1,Staz2,Staz3
1961,1,1,0.4740057671442628,0.7240880453027785,0.4274234159383923
1961,1,2,0.9363125748932362,0.5581220455933362,0.6355227555613965
1961,1,3,0.33975793211720884,0.5635340437293053,0.09464248968288302
1961,1,4,0.6702837490011007,0.737215539207682,0.17339172237552702
1961,1,5,0.968380308477208,0.5297130071558058,0.9512577913701534
1961,1,6,0.03503262856975198,0.26974669098854065,0.17756888922303915
1961,1,7,0.22804989269934595,0.41257177176885307,0.26956079667434096
1961,1,8,0.1512759632896632,0.4755150827113539,0.027536159148439765
1961,1,9,0.056079844012856483,0.0609311203006655,0.34571149246767163
1961,1,10,0.3836917467415333,0.7415414762217551,0.4610836775973439
1961,1,11,0.8167819289956242,0.863576331641525,0.34335279697552323
1961,1,12,0.12440958363004029,0.20209955121390522,0.33599288458935916
1961,1,13,0.8570141061209142,0.966127214487642,0.7198819648474455
1961,1,14,0.5253893223125488,0.6439358168281615,0.2570961455348879
1961,1,15,0.9570465153083205,0.9799475567415357,0.07975551905110478
1961,1,16,0.08366772485896945,0.21941468259319663,0.27170551661401987
1961,1,17,0.16104517923668027,0.5432478503789753,0.27154321945272386
1961,1,18,0.10190969565883279,0.5773224516306072,0.2474182650912553
1961,1,19,0.6082259179092944,0.04862712067551911,0.4916064639110118
1961,1,20,0.8335136917885393,0.9554870121646672,0.03413816122338176
1961,1,21,0.31034062476828694,0.686605128692463,0.031069755787029862
1961,1,22,0.33198101609013975,0.6470946329645813,0.1769793948624283
1961,1,23,0.19852373911999166,0.15445752418600023,0.8491986487060785
1961,1,24,0.2583792433142662,0.5467928908765316,0.9869968793354928
1961,1,25,0.8867296003736556,0.6784288086928427,0.8286146717146039
1961,1,26,0.6322663123719394,0.26560700638219714,0.5870629791170359
1961,1,27,0.21808831579983234,0.855111006880179,0.4261651039123535
1961,1,28,0.25541194388642907,0.05641789315268397,0.6440898268483579
1961,1,29,0.07622449519112706,0.6109523696359247,0.11368513409979641
1961,1,30,0.5078405207023025,0.7765499162487686,0.494848748203367
1961,1,31,0.7162339012138546,0.22084905533120036,0.5309980055317283
1961,2,1,0.9166731045115739,0.6977175527717918,0.13187879603356123
1961,2,2,0.8491125321015716,0.5286085070110857,0.4668374990578741
1961,2,3,0.2654627878218889,0.4326374016236514,0.8386726006865501
1961,2,4,0.615475945873186,0.27863716683350503,0.9236905635334551
1961,2,5,0.45942469756118953,0.5936429216526449,0.26933500985614955
1961,2,6,0.03437294508330524,0.38044458511285484,0.5799164462368935
1961,2,7,0.40507461596280336,0.008355834987014532,0.8063013232313097
1961,2,8,0.49779768055304885,0.5133834874723107,0.8409313773736358
1961,2,9,0.4552096207626164,0.13474868307821453,0.11229945300146937
1961,2,10,0.7928025983273983,0.41156343976035714,0.5926314976532012
1961,2,11,0.4642474923748523,0.1689101648516953,0.3515117208007723
1961,2,12,0.6462045689113438,0.602145679295063,0.6422867716755718
1961,2,13,0.09139195922762156,0.8827677359804511,0.9653913930524141
1961,2,14,0.9536127080209553,0.4986757303122431,0.751419463660568
1961,2,15,0.8846272979862988,0.11297290655784309,0.9502027814742178
1961,2,16,0.1326815087813884,0.1327512809075415,0.1383039029315114
1961,2,17,0.31074930541217327,0.45822400716133416,0.0733821087051183
1961,2,18,0.3927043795119971,0.6099266295786947,0.67026630602777
